interaction,total,uterine_carcinosarcoma,kidney_papillary_cell_carcinoma,kidney_chromophobe,kidney_clear_cell_carcinoma,brain_lower_grade_glioma,glioblastoma_multiforme,testicular_germ_cell_tumor,liver_hepatocellular_carcinoma,prostate_adenocarcinoma,lung_squamous_cell_carcinoma,lung_adenocarcinoma,breast_invasive_carcinoma,ovarian_serous_cystadenocarcinoma,skin_cutaneous_melanoma,pancreatic_adenocarcinoma,colon_adenocarcinoma,esophageal_carcinoma,stomach_adenocarcinoma
HLA-DPB1-CD4,5,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True
CXCL2-DPP4,5,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False
FN1-ITGA5+ITGB1,5,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False
JAG1-NOTCH1,5,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False
PDGFB-PDGFRB,5,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False
LAMA4-SV2A,5,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False
CCL3-CCR1,5,False,True,True,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False
CCL5-CCR5,5,True,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False
HLA-DOA-CD4,5,True,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False
APLN-APLNR,5,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
TNFSF12-TNFRSF12A,5,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False
FN1-ITGA11+ITGB1,5,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False
ENTPD1-ADORA3,5,True,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False
NLGN3-NRXN3,5,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,True,False
COL3A1-ITGA10+ITGB1,5,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False
COL4A1-ITGA11+ITGB1,5,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,True,False
COL6A2-ITGA10+ITGB1,5,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False
CCL14-CCR1,5,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,True
CLSTN2-NRXN3,5,False,False,False,False,True,True,True,False,False,False,False,False,False,False,True,True,False,False
ITGAV+ITGB1-ADGRE2,5,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,True
CD55-ADGRE5,5,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,True,False
CD1D-LILRB2,5,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,False,False
COL16A1-ITGA10+ITGB1,5,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False
COL18A1-ITGA11+ITGB1,5,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,True,False
HLA-F-LILRB2,5,True,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False
HBEGF-EGFR,5,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,False,False,False
HLA-DRB1-CD4,5,True,False,False,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False
COL5A1-ITGA10+ITGB1,5,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False
L1CAM-ITGAV+ITGB3,5,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False
PRNP-ADGRG6,5,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,True,False
PGF-NRP1,5,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False
ICAM1-ITGAL+ITGB2,5,True,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False
COL6A1-ITGA11+ITGB1,5,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,True,False,False
WNT5B-SFRP1,4,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False
PGF-NRP2,4,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
EFNA5-EPHA7,4,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True
CNTN1-NOTCH1,4,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False
COL14A1-ITGA11+ITGB1,4,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
RARRES2-CCRL2,4,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False
SEMA3A-NRP1,4,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False
VCAM1-ITGA4+ITGB7,4,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False
F10-ITGAM+ITGB2,4,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True
COL6A3-CD44,4,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False
COL6A2-CD44,4,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False
MICB-HCST+KLRK1,4,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False
JAG2-VASN,4,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False
WNT5A-FZD1,4,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False
WNT5A-FZD7,4,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False
CXCL2-ACKR1,4,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False
LAMA4-ITGA2_ITGB1,4,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False,False
EFNB3-EPHB4,4,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
WNT5B-FZD1,4,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False,False
PTGS2-P2RY1,4,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False
EFNA5-EPHA4,4,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True
CD69-KLRB1,4,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False
DLL4-NOTCH1,4,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
PTN-SDC1,4,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False
COL5A2-ITGA10+ITGB1,4,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
FGF1-FGFR1,4,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
KITLG-KIT,4,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True
IGF2-IGF1R,4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True
COL14A1-ITGA10+ITGB1,4,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
DLL1-NOTCH1,4,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
EFNB1-EPHB2,4,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True
CXCL12-ACKR3,4,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
GAS6-AXL,4,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False
L1CAM-ITGAV+ITGB1,4,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False
LAMC1-ITGA1_ITGB1,4,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False
CADM1-NECTIN3,4,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
NCAM1-NCAM2,4,False,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False
HLA-DOB-CD4,4,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True
LAMB1-ITGA1_ITGB1,4,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False
LAMA4-ITGA1_ITGB1,4,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False
WNT5A-SFRP4,4,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True
IL7-IL2RG+IL7R,4,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False
SEMA6B-PLXNA4,4,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False
WNT5B-SFRP2,4,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False
WNT5A-SFRP2,4,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True
C3-C3AR1,4,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False
HLA-F-CD8B,4,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False
HLA-E-CD8B,4,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True
JAG2-NOTCH1,4,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False
COL16A1-ITGA1+ITGB1,4,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False
CD99-PILRA,4,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
COL4A2-ITGA11+ITGB1,4,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False
ITGAV+ITGB3-ADGRA2,4,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False
ITGAV+ITGB3-ADGRE2,4,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True
COL13A1-ITGA10+ITGB1,4,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
NTN4-NTRK2,4,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
DSC2-DSG2,4,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False
NTN4-UNC5B,4,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False
FN1-ITGA4+ITGB1,4,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False
PTN-SDC2,4,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False
LAMB1-SV2A,4,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False
LAMB2-SV2A,4,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False
DLL1-NOTCH3,4,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True
PTN-PTPRZ1,4,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True
FN1-ITGA10+ITGB1,4,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
PDGFB-PDGFRA+PDGFRB,4,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False
COL4A1-CD44,4,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False
LAMC3-SV2A,4,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False
LAMC1-CD44,4,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False
MGLL-PTGER3,4,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
AKR1B1-PTGER4,4,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False
CCL14-ACKR1,4,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,False
ENTPD1-ADORA1,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True
CCL5-ACKR1,4,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
ENTPD1-ADORA2A,4,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False
CD93-IFNGR1,4,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False
CCL21-CCR7,4,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False
ANXA1-FPR1,4,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
LGALS9-HAVCR2,4,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
TGFA-EGFR,4,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False
APOE-TREM2+TYROBP,4,False,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False
TNFSF4-TNFRSF4,4,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True
ANXA1-FPR3,4,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
LAMB3-SV2A,4,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False
COL4A5-CD44,4,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False
PDGFA-PDGFRB,4,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
TNC-SDC1,4,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
COL4A2-CD44,4,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False
COL8A2-ITGA11+ITGB1,4,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False
MMP2-ITGAV+ITGB3,4,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False
